,0
63,41
61,48
0,9
1,6
2,1
3,0
4,0
5,0
6,2
7,3
8,6
9,7
10,9
11,16
12,17
13,22
14,25
15,26
16,29
17,31
18,33
19,37
20,41
21,44
22,47
23,49
24,52
25,58
26,61
27,65
28,65
29,71
30,73
31,76
32,145
33,141
34,130
35,130
36,122
37,120
38,115
39,114
40,111
41,106
42,101
43,95
44,92
45,93
46,91
47,80
48,82
49,82
50,79
51,76
52,74
53,70
54,65
55,62
56,61
57,58
58,55
59,52
60,48
62,45
64,250
65,250
66,247
67,243
68,235
69,235
70,235
71,225
72,222
73,219
74,217
75,215
76,201
77,201
78,198
79,196
80,190
81,187
82,182
83,179
84,174
85,166
86,156
87,147
88,145
89,141
90,139
91,135
92,131
93,127
94,120
95,116
96,143
97,156
98,158
99,160
100,167
101,173
102,180
103,184
104,191
105,191
106,204
107,211
108,219
109,224
110,229
111,230
112,232
113,240
114,244
115,248
116,250
117,253
118,259
119,262
120,265
121,271
122,273
123,277
124,281
125,286
126,291
127,298
