,cells,host,samples,media,abx_c,replicate,ID,media_source,sample_source,destination,prep_date
A01,n,,NCC,EZRDM,0,0,NTC|0ug|0,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A1 of 3 on Temperature Module GEN2 on 3,25/09/2022
B01,n,,NCC,EZRDM,0,1,NTC|0ug|1,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B1 of 3 on Temperature Module GEN2 on 3,25/09/2022
C01,n,,NCC,EZRDM,0,2,NTC|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C1 of 3 on Temperature Module GEN2 on 3,25/09/2022
D01,n,,NCC,EZRDM,100,0,NTC|100ug|0,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D1 of 3 on Temperature Module GEN2 on 3,25/09/2022
E01,n,,NCC,EZRDM,100,1,NTC|100ug|1,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E1 of 3 on Temperature Module GEN2 on 3,25/09/2022
F01,n,,NCC,EZRDM,100,2,NTC|100ug|2,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F1 of 3 on Temperature Module GEN2 on 3,25/09/2022
G01,y,DH5a,NC,EZRDM,0,0,LVL2_NTC|0ug|0,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G1 of 3 on Temperature Module GEN2 on 3,25/09/2022
H01,y,DH5a,NC,EZRDM,0,1,LVL2_NTC|0ug|1,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H1 of 3 on Temperature Module GEN2 on 3,25/09/2022
A02,y,DH5a,NC,EZRDM,0,2,LVL2_NTC|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A2 of 3 on Temperature Module GEN2 on 3,25/09/2022
B02,y,DH5a,NC,EZRDM,25,0,LVL2_NTC|25ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B2 of 3 on Temperature Module GEN2 on 3,25/09/2022
