,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0,34,36,36,139,131,118,115,174,158,1038,721,256,35,34,30,129,125,121,110,173,135,1513,394,362,32,34,41,130,130,127,113,182,991,978,282,341,38,38,36,126,121,127,183,175,545,864,272,329,40,36,31,130,112,123,179,167,1108,953,406,322,40,31,126,134,118,119,172,167,1393,1128,385,293,35,36,121,127,117,118,168,169,1068,1011,314,265,37,33,135,136,116,113,177,164,973,871,283,283
300,35,36,34,132,131,129,121,177,162,1065,748,288,34,32,32,129,131,126,121,178,154,1400,338,410,34,39,38,137,122,121,107,187,939,921,281,348,36,38,36,135,117,129,186,172,741,766,264,365,38,41,38,134,112,123,182,175,1181,921,351,281,36,33,133,138,127,126,172,170,1266,978,311,276,32,38,135,130,130,125,171,185,1088,895,281,285,30,36,139,135,128,119,174,173,945,813,292,277
600,35,33,31,136,138,133,123,181,171,1049,775,284,38,32,34,137,133,130,124,184,158,1337,325,420,31,32,32,137,122,126,109,184,948,910,282,357,34,34,36,138,123,122,185,180,811,731,280,375,35,35,35,141,117,128,192,181,1138,875,343,279,29,33,134,133,128,125,187,178,1135,897,308,280,36,34,144,137,128,126,179,180,1043,831,278,303,33,33,144,135,126,116,175,174,915,779,299,282
901,33,36,35,139,138,123,125,173,167,1040,837,296,32,34,32,135,132,130,121,185,158,1366,326,395,37,29,34,138,126,124,114,189,977,982,277,354,31,32,35,135,124,128,191,178,854,764,295,373,32,37,34,136,111,125,185,181,1125,885,329,289,40,33,134,138,129,126,181,183,1022,890,300,289,38,37,142,142,135,127,178,187,966,816,270,293,35,33,139,142,131,123,171,170,874,763,298,286
1201,31,33,30,134,133,127,123,178,162,1065,826,314,31,31,35,137,131,124,121,183,159,1373,345,399,35,35,29,137,118,123,113,187,1019,1062,267,354,35,33,36,129,125,129,188,175,852,789,289,383,31,36,30,132,119,123,184,176,1120,893,327,284,29,33,132,137,127,121,180,173,956,847,288,301,30,33,134,139,126,119,173,183,903,802,262,295,29,32,141,135,121,115,173,170,835,751,304,281
1501,31,33,34,135,134,121,122,171,167,983,754,289,32,32,30,131,132,130,118,175,157,1205,303,324,29,32,36,132,122,124,113,181,980,1016,250,322,33,38,38,135,125,123,175,177,762,867,274,326,34,35,29,133,115,119,176,171,1035,939,289,267,33,34,126,132,126,123,183,174,919,1049,275,281,34,32,132,128,128,123,175,179,852,829,249,295,34,32,136,132,118,116,176,176,801,799,297,276
1801,38,32,36,135,136,130,115,187,161,977,723,307,31,34,37,133,130,130,116,177,152,1177,307,330,31,32,31,145,125,126,108,182,951,977,259,333,35,36,36,136,122,126,166,171,723,858,297,339,36,31,35,137,116,120,176,179,992,921,300,277,34,32,128,133,125,119,179,177,909,994,268,300,35,32,130,132,118,124,174,176,848,918,249,298,33,30,140,134,118,113,171,164,799,864,282,264
2101,41,28,37,137,130,126,119,179,170,888,663,282,36,37,34,135,130,131,119,170,158,1008,272,279,33,36,32,134,121,126,113,175,803,866,224,289,36,34,33,133,116,125,156,175,612,782,291,294,34,32,30,128,117,122,170,171,807,843,291,250,30,38,125,130,129,125,173,170,863,915,277,297,32,37,131,131,125,126,181,173,803,1000,272,307,32,33,132,136,124,121,177,172,780,915,257,245
2402,35,33,33,142,134,131,119,183,164,807,625,275,30,32,33,136,131,138,114,174,158,930,257,255,34,33,34,133,118,127,111,181,725,775,217,272,29,38,34,135,117,124,150,176,573,730,320,263,34,33,34,131,116,125,167,168,747,780,290,241,30,31,126,136,127,121,173,173,855,859,271,302,32,31,139,124,120,124,183,166,778,1014,253,304,36,31,137,133,128,117,179,175,739,886,256,242
2701,34,33,34,140,134,129,122,191,162,733,586,264,42,42,31,144,130,128,120,179,156,880,235,239,27,32,33,135,127,126,112,177,651,725,225,264,36,35,33,135,122,121,156,175,565,679,332,269,35,32,29,133,119,119,176,178,701,719,302,240,32,31,133,138,132,119,173,171,864,779,274,273,32,33,135,126,123,125,184,166,803,924,273,276,33,34,138,133,127,119,182,175,750,789,250,231
3002,33,38,33,149,139,134,121,190,168,723,579,265,33,30,31,136,137,134,118,179,153,841,242,238,31,38,31,143,122,125,115,178,636,702,230,262,31,35,38,134,114,131,159,173,526,654,346,264,33,29,34,134,121,130,174,175,684,700,300,236,30,32,128,137,133,119,179,176,862,775,292,283,32,29,132,125,119,123,190,174,773,915,272,301,31,33,140,137,133,118,185,175,740,779,262,237
3302,33,36,30,151,136,143,130,197,167,711,572,281,35,31,33,149,140,143,123,183,159,830,247,251,33,29,34,142,124,130,107,188,626,692,248,261,33,36,31,142,122,130,168,171,520,651,378,269,34,28,34,139,119,127,186,183,687,693,320,248,33,39,136,138,124,121,187,178,858,764,296,289,35,34,135,135,130,131,188,177,801,882,294,294,37,27,144,146,135,128,190,179,750,733,265,246
3602,34,36,33,154,139,143,127,202,176,690,573,288,34,36,35,156,134,144,120,183,155,803,255,245,36,34,35,146,126,126,115,184,603,673,261,273,35,41,30,139,123,128,166,176,509,634,422,275,31,32,33,132,123,128,180,178,669,678,330,253,34,33,138,141,139,131,183,181,860,738,301,285,33,31,142,137,136,133,193,176,793,840,294,300,32,29,152,145,137,125,196,179,743,708,274,249
3902,28,35,35,151,145,144,128,206,168,662,564,300,41,34,32,157,142,150,122,189,162,762,266,256,27,34,34,153,124,138,114,188,570,655,266,279,30,33,37,148,125,127,171,182,516,614,491,282,34,36,29,144,126,130,185,187,651,663,366,275,34,36,140,145,139,136,187,179,858,696,335,287,29,41,153,143,143,131,195,177,823,766,324,301,30,30,155,147,146,130,197,187,779,676,289,260
4203,33,35,33,164,146,152,128,218,176,651,542,315,33,28,35,162,142,154,129,191,163,759,272,266,29,36,35,158,128,134,114,194,588,631,285,298,32,31,32,150,133,138,172,186,509,603,521,299,31,34,32,147,133,134,195,187,658,649,394,283,33,29,142,145,147,133,199,188,867,682,353,311,34,30,157,144,152,133,210,180,828,742,344,312,34,31,164,145,146,131,205,192,776,663,306,274
4502,39,29,33,163,150,150,137,214,183,655,530,332,32,38,40,170,147,155,128,197,168,750,296,284,35,30,34,170,136,142,121,192,573,637,314,316,33,39,31,151,127,138,179,195,513,608,584,309,32,36,37,154,132,138,200,194,633,631,439,290,33,41,159,151,154,131,204,188,882,689,374,316,35,35,163,153,150,140,215,192,827,721,361,321,37,37,167,153,153,137,214,196,782,650,318,285
4803,37,33,34,172,159,161,139,228,182,644,527,357,35,30,37,172,152,170,127,199,168,767,319,298,34,26,34,173,139,155,124,201,595,632,341,335,34,33,30,156,135,144,189,201,505,609,597,335,28,33,33,165,143,147,204,198,647,640,466,315,30,30,164,161,155,141,216,198,942,682,395,334,36,30,165,153,159,145,228,193,868,699,385,335,31,34,177,159,162,141,222,199,813,638,339,299
5103,37,30,30,174,162,165,140,227,188,629,533,372,30,29,32,175,156,173,139,211,169,743,322,306,33,35,31,174,139,153,124,206,561,615,375,343,31,36,36,160,129,154,191,205,514,608,679,347,35,35,35,159,151,150,221,197,636,622,507,324,31,30,170,162,165,142,228,204,976,664,415,332,38,33,179,159,166,153,237,197,908,674,413,346,30,34,191,161,170,149,227,201,834,614,356,313
