,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0,0.4184,0.4528,0.5037,0.4679,0.4371,0.5086,0.4306,0.4591,0.4415,0.5613,0.4391,0.516,0.4317,0.4147,0.4519,0.5206,0.4467,0.4439,0.4537,0.5044,0.4144,0.5564,0.5029,0.3968,0.5198,0.4762,0.4716,0.5631,0.402,0.4834,0.5663,0.4523,0.4964,0.4893,0.4913,0.4617,0.4681,0.4625,0.4882,0.4663,0.4991,0.4881,0.4802,0.4277,0.5404,0.5193,0.4732,0.4592,0.4861,0.5073,0.4599,0.4322,0.4022,0.5344,0.5073,0.5823,0.4704,0.5205,0.5432,0.4372,0.54,0.4258,0.4634,0.4866,0.4839,0.4483,0.469,0.488,0.5174,0.4501,0.4666,0.4454,0.5187,0.4687,0.457,0.4408,0.4625,0.4548,0.4172,0.4686,0.5143,0.5384,0.4633,0.482,0.4415,0.4611,0.495,0.6221,0.5445,0.4227,0.4723,0.4304,0.4223,0.5353,0.4415,0.473
300,0.4308,0.4577,0.4906,0.4736,0.4416,0.5363,0.4522,0.4619,0.4483,0.5719,0.4495,0.4546,0.4744,0.4256,0.4402,0.4983,0.4602,0.4724,0.465,0.4956,0.4252,0.6032,0.5027,0.4372,0.6106,0.4758,0.4907,0.5772,0.425,0.5061,0.5737,0.4586,0.5109,0.54,0.4885,0.4611,0.4899,0.4694,0.5113,0.4862,0.5188,0.4702,0.4943,0.449,0.5563,0.5096,0.4561,0.4768,0.5197,0.5131,0.4727,0.455,0.4407,0.5181,0.5243,0.6238,0.4993,0.5303,0.5237,0.4384,0.5443,0.4446,0.4904,0.5244,0.4588,0.4723,0.4876,0.5282,0.5439,0.4487,0.4873,0.4588,0.5268,0.4763,0.4759,0.4633,0.4949,0.4696,0.422,0.4521,0.5263,0.5656,0.4846,0.498,0.462,0.4694,0.529,0.6269,0.544,0.422,0.4861,0.4306,0.4488,0.5278,0.4405,0.5367
600,0.484,0.4887,0.4849,0.4813,0.4761,0.523,0.4458,0.477,0.4532,0.599,0.4627,0.4737,0.4446,0.4346,0.462,0.5286,0.4576,0.4549,0.4783,0.5145,0.4329,0.5604,0.5476,0.4029,0.5995,0.4902,0.4979,0.5673,0.4111,0.5159,0.5779,0.4453,0.5262,0.5143,0.4777,0.4788,0.4731,0.4758,0.5132,0.4721,0.5158,0.507,0.4685,0.4226,0.5683,0.5687,0.4912,0.468,0.5232,0.5248,0.4838,0.4447,0.4172,0.5574,0.4988,0.6005,0.4933,0.5495,0.5555,0.4227,0.5627,0.4364,0.4828,0.5152,0.4966,0.4719,0.4837,0.4877,0.5796,0.4845,0.4744,0.4643,0.5519,0.489,0.4773,0.48,0.4637,0.4532,0.449,0.5099,0.5689,0.5616,0.4762,0.487,0.4363,0.4722,0.5156,0.6423,0.5732,0.4347,0.4863,0.448,0.4491,0.5474,0.4368,0.5131
901,0.4878,0.486,0.4875,0.478,0.4802,0.5243,0.4503,0.4831,0.4561,0.6119,0.466,0.4784,0.4473,0.4375,0.4636,0.5459,0.459,0.4512,0.4878,0.5154,0.4403,0.5669,0.5572,0.405,0.604,0.4861,0.5024,0.5632,0.4169,0.5216,0.5806,0.4469,0.5341,0.5234,0.4789,0.4859,0.4721,0.481,0.5155,0.4734,0.5212,0.5098,0.4698,0.4179,0.5769,0.5589,0.4939,0.4716,0.5298,0.5244,0.4919,0.4471,0.421,0.5612,0.4948,0.6101,0.4942,0.5805,0.5595,0.4254,0.5679,0.4415,0.49,0.521,0.4935,0.4773,0.4948,0.4835,0.6153,0.4745,0.4726,0.4664,0.5532,0.4899,0.4765,0.4875,0.4601,0.4491,0.4572,0.5242,0.591,0.5753,0.4787,0.4757,0.4348,0.4736,0.5217,0.6463,0.5734,0.4371,0.5083,0.4524,0.4658,0.5641,0.4332,0.5141
1201,0.4887,0.4858,0.4867,0.4807,0.4778,0.5309,0.457,0.4796,0.4543,0.6164,0.4649,0.4762,0.4495,0.4462,0.4682,0.5314,0.4646,0.4545,0.5078,0.5028,0.4397,0.5901,0.575,0.4156,0.6236,0.4945,0.5019,0.5724,0.42,0.5391,0.5884,0.4427,0.5213,0.5227,0.4778,0.4849,0.4725,0.481,0.5199,0.4768,0.5292,0.5191,0.4789,0.4254,0.5874,0.537,0.501,0.478,0.5395,0.5273,0.4934,0.4519,0.4256,0.5733,0.5034,0.6244,0.498,0.5679,0.5609,0.4307,0.574,0.4545,0.4954,0.5455,0.4908,0.4892,0.523,0.4923,0.6226,0.4743,0.4791,0.474,0.5575,0.4913,0.4819,0.4808,0.4594,0.4444,0.4575,0.5249,0.6194,0.5843,0.4888,0.482,0.4329,0.4766,0.5325,0.6466,0.58,0.4424,0.5147,0.4576,0.4725,0.5876,0.4361,0.5208
1501,0.4505,0.4681,0.4614,0.4878,0.4537,0.5601,0.4794,0.4687,0.4482,0.5864,0.4523,0.4491,0.467,0.4464,0.4579,0.4924,0.491,0.4759,0.5469,0.4875,0.4314,0.6227,0.5579,0.4321,0.6721,0.4894,0.4876,0.6027,0.4091,0.5444,0.5944,0.4595,0.4758,0.5097,0.4851,0.4641,0.4829,0.4518,0.5331,0.4823,0.5359,0.5027,0.4973,0.4576,0.58,0.4932,0.4797,0.4734,0.5634,0.522,0.4791,0.4677,0.4523,0.5528,0.5246,0.6527,0.4927,0.5225,0.5509,0.4326,0.5716,0.4722,0.5041,0.5714,0.4672,0.4987,0.5433,0.5336,0.6244,0.434,0.4933,0.4696,0.5471,0.4881,0.4865,0.4785,0.4937,0.4526,0.4408,0.4753,0.6072,0.5758,0.5074,0.5046,0.4373,0.4917,0.5601,0.6592,0.5574,0.4375,0.4931,0.4513,0.479,0.5788,0.4433,0.533
1801,0.4773,0.4778,0.4892,0.4884,0.4793,0.5482,0.4668,0.4861,0.4573,0.6001,0.4594,0.4744,0.4498,0.4567,0.471,0.5259,0.4642,0.4608,0.5131,0.5083,0.4469,0.5597,0.5689,0.4103,0.6187,0.5072,0.4945,0.5843,0.4143,0.5408,0.5882,0.4409,0.5041,0.4819,0.4828,0.4913,0.4742,0.4735,0.5254,0.4776,0.5305,0.5203,0.4739,0.4189,0.6003,0.5449,0.5081,0.474,0.5494,0.5292,0.4912,0.4538,0.4275,0.5739,0.4992,0.6081,0.4948,0.5399,0.5752,0.4269,0.584,0.4596,0.5032,0.5401,0.5016,0.4927,0.5384,0.4813,0.6115,0.4756,0.4802,0.4741,0.5542,0.4943,0.4818,0.4878,0.4596,0.4494,0.4778,0.5609,0.6271,0.5475,0.4868,0.476,0.4362,0.4765,0.5404,0.6428,0.5752,0.4523,0.5252,0.4635,0.4893,0.575,0.4407,0.5018
2101,0.4623,0.4725,0.4694,0.4882,0.4563,0.5664,0.4857,0.4723,0.4529,0.5837,0.451,0.4501,0.4722,0.4493,0.4662,0.493,0.4934,0.4762,0.5521,0.4892,0.4328,0.6317,0.5524,0.4289,0.6829,0.4916,0.4895,0.5961,0.4096,0.5423,0.5954,0.4631,0.4766,0.5068,0.4907,0.4606,0.4893,0.454,0.5406,0.4883,0.5414,0.5078,0.5005,0.4635,0.5864,0.4928,0.482,0.4709,0.5728,0.526,0.4837,0.4718,0.455,0.5562,0.5305,0.6573,0.4969,0.519,0.5541,0.4314,0.5766,0.4767,0.5093,0.5758,0.4703,0.5042,0.5523,0.5359,0.6041,0.4326,0.4924,0.4684,0.5524,0.4928,0.4907,0.486,0.4897,0.4568,0.4442,0.4868,0.6038,0.5696,0.5062,0.5023,0.44,0.4959,0.5643,0.6622,0.5575,0.4421,0.4959,0.4518,0.5059,0.5818,0.4442,0.5392
2402,0.4863,0.4849,0.4921,0.4805,0.4761,0.5433,0.4674,0.486,0.4599,0.5915,0.4506,0.4663,0.451,0.4541,0.4727,0.5294,0.4664,0.4613,0.5227,0.5028,0.4412,0.5849,0.5611,0.4044,0.6286,0.4994,0.4946,0.575,0.4177,0.5413,0.5891,0.4468,0.496,0.4798,0.4858,0.4755,0.4789,0.4787,0.5337,0.4792,0.5352,0.5261,0.4775,0.4271,0.603,0.5195,0.5067,0.4688,0.5576,0.5329,0.4907,0.4555,0.4315,0.5771,0.5107,0.6199,0.4953,0.5293,0.5871,0.4222,0.5821,0.4641,0.5072,0.5487,0.4974,0.5036,0.5484,0.496,0.5924,0.4665,0.477,0.4656,0.5546,0.4972,0.4834,0.4935,0.4622,0.4482,0.4791,0.556,0.6085,0.5428,0.4886,0.4778,0.4407,0.4756,0.5443,0.6465,0.5851,0.4492,0.5208,0.4602,0.5199,0.5721,0.4343,0.5061
2701,0.4861,0.4832,0.4894,0.4923,0.4736,0.5693,0.4712,0.4746,0.4609,0.5919,0.4481,0.467,0.449,0.46,0.4721,0.4961,0.4651,0.4614,0.52,0.5048,0.4484,0.5811,0.5601,0.4028,0.616,0.5166,0.4977,0.6216,0.4167,0.5366,0.5894,0.4465,0.4948,0.4755,0.4879,0.48,0.4829,0.47,0.5395,0.4794,0.5372,0.5275,0.4774,0.4258,0.6028,0.5288,0.5046,0.4686,0.5605,0.5357,0.4933,0.4549,0.4321,0.5736,0.5052,0.6182,0.4928,0.5286,0.5794,0.4245,0.5843,0.4668,0.5105,0.5526,0.498,0.5059,0.5533,0.488,0.5961,0.4691,0.4876,0.4663,0.5542,0.4968,0.4856,0.4951,0.464,0.4529,0.4783,0.5566,0.6119,0.5406,0.4896,0.4767,0.4437,0.477,0.5375,0.6428,0.5615,0.4555,0.5149,0.4635,0.4863,0.5739,0.4429,0.5046
