,cells,host,samples,media,abx_c,replicate,ID,media_source,sample_source,destination,prep_date,samples_id
A01,n,,NCC,EZRDM,0,0,NTC|0ug|0,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A1 of 3 on Temperature Module GEN2 on 3,2022-09-24,NTC|0ug
B01,n,,NCC,EZRDM,0,1,NTC|0ug|1,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B1 of 3 on Temperature Module GEN2 on 3,2022-09-24,NTC|0ug
C01,n,,NCC,EZRDM,0,2,NTC|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C1 of 3 on Temperature Module GEN2 on 3,2022-09-24,NTC|0ug
D01,y,DH5a,NC,EZRDM,0,0,just_cells|0ug|0,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D1 of 3 on Temperature Module GEN2 on 3,2022-09-24,just_cells|0ug
E01,y,DH5a,NC,EZRDM,0,1,just_cells|0ug|1,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E1 of 3 on Temperature Module GEN2 on 3,2022-09-24,just_cells|0ug
F01,y,DH5a,NC,EZRDM,0,2,just_cells|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F1 of 3 on Temperature Module GEN2 on 3,2022-09-24,just_cells|0ug
F03,y,DH5a,pJUMP47-2A(pSC101),EZRDM,0,0,pJUMP47-2A(pSC101)|0ug|0,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F3 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP47-2A(pSC101)|0ug
G03,y,DH5a,pJUMP47-2A(pSC101),EZRDM,0,1,pJUMP47-2A(pSC101)|0ug|1,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G3 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP47-2A(pSC101)|0ug
H03,y,DH5a,pJUMP47-2A(pSC101),EZRDM,0,2,pJUMP47-2A(pSC101)|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H3 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP47-2A(pSC101)|0ug
A04,y,DH5a,pJUMP47-2A(pSC101),EZRDM,25,0,pJUMP47-2A(pSC101)|25ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A4 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP47-2A(pSC101)|25ug
