,cells,host,samples,media,abx_c,replicate,media_ID,ID,media_source,sample_source,destination,prep_date,samples_id
A01,n,,NCC,EZRDM,40,0,EZRDM|40ug,NC|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A1 of 3 on Temperature Module GEN2 on 3,2022-10-17,NC|EZRDM|40ug
B01,n,,NCC,EZRDM,40,1,EZRDM|40ug,NC|EZRDM|40ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B1 of 3 on Temperature Module GEN2 on 3,2022-10-17,NC|EZRDM|40ug
C01,n,,NCC,EZRDM,40,2,EZRDM|40ug,NC|EZRDM|40ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C1 of 3 on Temperature Module GEN2 on 3,2022-10-17,NC|EZRDM|40ug
D01,n,,NCC,EZRDM,40,3,EZRDM|40ug,NC|EZRDM|40ug|3,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D1 of 3 on Temperature Module GEN2 on 3,2022-10-17,NC|EZRDM|40ug
E01,n,,NCC,EZRDM,40,4,EZRDM|40ug,NC|EZRDM|40ug|4,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E1 of 3 on Temperature Module GEN2 on 3,2022-10-17,NC|EZRDM|40ug
F01,n,,NCC,LB,40,0,LB|40ug,NC|LB|40ug|0,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F1 of 3 on Temperature Module GEN2 on 3,2022-10-17,NC|LB|40ug
G01,n,,NCC,LB,40,1,LB|40ug,NC|LB|40ug|1,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G1 of 3 on Temperature Module GEN2 on 3,2022-10-17,NC|LB|40ug
H01,n,,NCC,LB,40,2,LB|40ug,NC|LB|40ug|2,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H1 of 3 on Temperature Module GEN2 on 3,2022-10-17,NC|LB|40ug
A02,n,,NCC,LB,40,3,LB|40ug,NC|LB|40ug|3,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A2 of 3 on Temperature Module GEN2 on 3,2022-10-17,NC|LB|40ug
B02,n,,NCC,LB,40,4,LB|40ug,NC|LB|40ug|4,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B2 of 3 on Temperature Module GEN2 on 3,2022-10-17,NC|LB|40ug
