,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11
0,0.4903,0.4715,0.5047,0.5,0.4936,0.4972,0.5171,0.4791,0.5089,0.4735,0.4901,0.4783,0.4942,0.4925,0.493,0.4751,0.4987,0.4897,0.4648,0.4699,0.4921,0.4653,0.4644,0.5011,0.5177,0.5192,0.5061,0.4957,0.514,0.5026,0.5084,0.4803,0.5504,0.4787,0.4859,0.5185,0.483,0.5123,0.5097,0.5216,0.5337,0.5124,0.5094,0.4835,0.4889,0.4949,0.5636,0.4996,0.5154,0.5063,0.5258,0.5103,0.517,0.533,0.4733,0.4873,0.4882,0.4758,0.4755,0.481,0.5047,0.5201,0.5029,0.5354,0.5123,0.5126,0.5026,0.4931,0.5074,0.4988,0.5032,0.494,0.501,0.4862,0.4974,0.4908,0.5044,0.4766,0.549,0.4989,0.5312,0.4984,0.4948,0.5049,0.515,0.5092,0.5072,0.4853,0.4994,0.5389
300,0.515,0.4742,0.4974,0.5102,0.5088,0.4904,0.5332,0.4822,0.5105,0.475,0.4915,0.5167,0.5057,0.482,0.4865,0.4592,0.4978,0.48,0.4599,0.4534,0.5041,0.4627,0.4754,0.5113,0.5308,0.5118,0.4988,0.486,0.5024,0.4974,0.4897,0.4738,0.5483,0.4772,0.4797,0.5112,0.4831,0.5057,0.5114,0.5101,0.5209,0.5072,0.4995,0.478,0.4793,0.4931,0.5119,0.494,0.5031,0.4997,0.5202,0.5005,0.5083,0.5157,0.4691,0.4733,0.4936,0.4844,0.4822,0.4783,0.4934,0.5314,0.5238,0.5334,0.5071,0.4914,0.4957,0.4945,0.5158,0.503,0.4959,0.4914,0.5052,0.5016,0.5011,0.495,0.5069,0.4669,0.5387,0.5029,0.5213,0.4987,0.4875,0.4962,0.5055,0.5215,0.5047,0.4811,0.4975,0.5303
600,0.4885,0.4788,0.499,0.5119,0.5085,0.4922,0.5348,0.4829,0.514,0.4747,0.4883,0.5126,0.5082,0.4845,0.4838,0.4612,0.4936,0.4724,0.4593,0.4538,0.5003,0.4484,0.4719,0.5013,0.5094,0.5055,0.4845,0.4813,0.4883,0.4982,0.482,0.4719,0.5434,0.4716,0.479,0.5111,0.4858,0.5032,0.5051,0.5017,0.5079,0.4974,0.4942,0.4743,0.4748,0.4874,0.5399,0.4945,0.4994,0.4965,0.5215,0.4991,0.5036,0.5205,0.4693,0.4789,0.4878,0.5464,0.4829,0.4778,0.4937,0.5335,0.521,0.5297,0.5065,0.4882,0.4994,0.499,0.5158,0.5053,0.4933,0.4851,0.5054,0.5005,0.4969,0.4878,0.5045,0.4683,0.5356,0.5045,0.5188,0.4984,0.4881,0.4885,0.5007,0.5232,0.5046,0.481,0.4975,0.5256
900,0.4902,0.4765,0.5017,0.5031,0.5097,0.5072,0.5422,0.4916,0.5103,0.4746,0.4803,0.512,0.5115,0.4888,0.4817,0.4853,0.5002,0.4921,0.4765,0.4738,0.5079,0.4569,0.4631,0.5028,0.5124,0.4969,0.4761,0.4926,0.4867,0.5078,0.4828,0.4771,0.5552,0.4828,0.4851,0.579,0.4936,0.5153,0.5169,0.5089,0.5106,0.5068,0.501,0.4796,0.4776,0.503,0.5122,0.5238,0.492,0.4977,0.5249,0.5146,0.5008,0.5134,0.4723,0.482,0.5025,0.5004,0.4751,0.4816,0.4959,0.5093,0.5318,0.5104,0.5168,0.4912,0.499,0.5042,0.5153,0.4983,0.5016,0.4897,0.5263,0.5124,0.5042,0.4918,0.5001,0.4573,0.532,0.5158,0.5076,0.5141,0.4988,0.4902,0.5015,0.5207,0.5074,0.4837,0.4952,0.5274
1201,0.4943,0.4829,0.5071,0.5156,0.5099,0.4982,0.5343,0.4822,0.5156,0.4685,0.489,0.4973,0.5092,0.493,0.4854,0.4737,0.5053,0.4887,0.4666,0.4588,0.4915,0.451,0.464,0.5028,0.5107,0.5082,0.4857,0.4957,0.4876,0.5101,0.4834,0.4714,0.5413,0.481,0.4769,0.5684,0.4884,0.5016,0.5145,0.4997,0.5068,0.5002,0.4901,0.4693,0.473,0.5015,0.5197,0.5082,0.4975,0.4992,0.5208,0.5088,0.5027,0.5023,0.4723,0.4783,0.4945,0.4967,0.4836,0.4823,0.4972,0.5226,0.5169,0.5354,0.5127,0.4906,0.5022,0.5014,0.5234,0.5086,0.4951,0.4866,0.5141,0.506,0.5061,0.4977,0.5115,0.4643,0.5231,0.5082,0.5308,0.4966,0.4945,0.4894,0.5048,0.5279,0.5022,0.4872,0.4886,0.5271
1501,0.4871,0.4745,0.5076,0.5126,0.5106,0.4983,0.5264,0.478,0.5144,0.4657,0.4896,0.4899,0.5055,0.4904,0.4875,0.474,0.5054,0.4812,0.4654,0.459,0.4868,0.4586,0.463,0.5028,0.5297,0.5064,0.4826,0.4948,0.4868,0.514,0.4813,0.4686,0.5397,0.4812,0.4755,0.572,0.4873,0.4987,0.5106,0.5008,0.5078,0.4973,0.4851,0.4695,0.4693,0.4978,0.4982,0.5074,0.4995,0.4996,0.5182,0.5103,0.5021,0.5002,0.4819,0.4703,0.4936,0.4941,0.4795,0.4825,0.5021,0.518,0.5153,0.5312,0.5109,0.492,0.4969,0.503,0.5191,0.5079,0.495,0.4852,0.5167,0.5028,0.5044,0.4968,0.515,0.4647,0.5238,0.5082,0.5231,0.4925,0.4942,0.4892,0.5034,0.5237,0.5028,0.4905,0.4765,0.5249
1801,0.5001,0.4828,0.5085,0.5096,0.5069,0.4905,0.5234,0.4773,0.4985,0.4726,0.4974,0.4837,0.534,0.4887,0.4909,0.4786,0.5066,0.4823,0.4654,0.4604,0.4931,0.4638,0.4599,0.4918,0.5793,0.5135,0.4791,0.4961,0.4905,0.5166,0.4818,0.4651,0.5414,0.4842,0.471,0.5049,0.487,0.5102,0.513,0.5078,0.5025,0.4924,0.4907,0.4773,0.4745,0.5019,0.5091,0.515,0.4938,0.4967,0.5158,0.5054,0.499,0.4978,0.471,0.4706,0.4952,0.4951,0.4761,0.4761,0.4885,0.5166,0.5226,0.5293,0.5207,0.495,0.4971,0.5005,0.5234,0.5045,0.5015,0.4914,0.5236,0.5064,0.4969,0.4916,0.4969,0.4606,0.5265,0.5083,0.5204,0.504,0.5009,0.4959,0.4941,0.5153,0.5106,0.4865,0.4825,0.5348
2101,0.5307,0.4841,0.5071,0.5022,0.5075,0.5004,0.5363,0.485,0.5065,0.4703,0.4866,0.4916,0.5034,0.4885,0.4889,0.4882,0.5046,0.4905,0.4699,0.4643,0.4871,0.456,0.4551,0.4928,0.5255,0.503,0.4753,0.5022,0.491,0.5247,0.4897,0.4819,0.5491,0.4908,0.4761,0.5017,0.4898,0.5119,0.5328,0.5188,0.5156,0.5006,0.4951,0.4807,0.48,0.5163,0.4988,0.5381,0.4947,0.5047,0.5191,0.5158,0.4976,0.4994,0.4752,0.4812,0.4996,0.4974,0.4762,0.4706,0.4936,0.5054,0.5289,0.5043,0.5284,0.4951,0.4983,0.508,0.5143,0.4991,0.5075,0.4959,0.5247,0.5126,0.5084,0.4878,0.4958,0.454,0.5293,0.5119,0.5095,0.5182,0.5057,0.5014,0.4963,0.509,0.5173,0.4884,0.4879,0.5296
2401,0.4919,0.4769,0.5109,0.514,0.5131,0.4994,0.5271,0.4795,0.5153,0.4668,0.4922,0.4943,0.5132,0.4929,0.4889,0.4798,0.5051,0.4806,0.4678,0.4617,0.4898,0.4623,0.46,0.5063,0.4983,0.5092,0.4844,0.4947,0.4939,0.512,0.4911,0.4749,0.5477,0.4788,0.4855,0.4924,0.491,0.5045,0.509,0.5031,0.5092,0.5048,0.4856,0.4708,0.4704,0.5036,0.4981,0.5149,0.5,0.4989,0.5214,0.5074,0.5009,0.5016,0.4789,0.4753,0.5038,0.4981,0.4848,0.4798,0.4968,0.5153,0.5187,0.5318,0.5157,0.4906,0.5024,0.5055,0.5183,0.5033,0.4933,0.4807,0.5176,0.499,0.5013,0.4928,0.5167,0.4634,0.5154,0.5056,0.5191,0.4931,0.4973,0.4912,0.5023,0.5257,0.5047,0.4938,0.4801,0.5303
2702,0.5334,0.4755,0.5045,0.5062,0.514,0.5043,0.5316,0.485,0.5079,0.4629,0.4848,0.5007,0.5176,0.493,0.4815,0.4917,0.506,0.4845,0.4648,0.4625,0.4906,0.4554,0.4546,0.507,0.4948,0.4978,0.4738,0.4952,0.4879,0.5213,0.4975,0.4817,0.5521,0.4865,0.4819,0.5064,0.4891,0.5085,0.5218,0.5097,0.5091,0.5079,0.4857,0.477,0.474,0.5138,0.4963,0.5322,0.494,0.4995,0.5173,0.5173,0.4969,0.5058,0.4766,0.4778,0.4991,0.4958,0.4801,0.4751,0.5005,0.4959,0.528,0.5071,0.5219,0.4929,0.4972,0.5106,0.5125,0.5011,0.4968,0.489,0.5241,0.5026,0.5039,0.4949,0.5066,0.4564,0.5294,0.5095,0.4984,0.5059,0.4993,0.497,0.501,0.5223,0.5107,0.4922,0.4794,0.5337
