,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11
0,95,95,96,604,1386,3310,361,592,641,1655,141,309,95,103,96,554,1391,3340,365,586,656,1660,147,333,95,91,545,584,1332,2087,370,530,934,1666,148,99,98,601,605,1369,1941,351,534,974,1624,155,95,93,561,591,3280,2011,339,628,1038,1550,311,96,101,563,590,3386,1497,344,661,935,1589,306,91,94,543,1305,3398,1663,537,642,929,148,330,101,96,575,1509,3436,1640,563,657,986,153,311
300,93,100,92,633,1450,3405,359,577,651,1677,138,309,87,92,94,592,1451,3476,368,611,677,1711,145,338,101,95,583,624,1384,2090,386,556,960,1706,144,88,97,627,658,1433,2040,346,553,990,1638,142,94,96,606,627,3451,2101,349,641,1111,1593,332,95,91,596,617,3428,1602,346,686,930,1618,315,96,88,596,1370,3498,1733,552,644,959,146,353,100,94,608,1560,3531,1768,576,671,1014,144,307
600,87,93,92,639,1495,3464,359,586,662,1710,141,319,92,92,90,619,1488,3505,369,606,685,1785,139,348,87,94,611,633,1403,2160,385,553,978,1737,139,92,96,656,685,1480,2051,359,557,1016,1698,145,85,88,604,631,3491,2190,346,657,1188,1638,328,87,86,601,613,3546,1658,355,686,968,1658,336,97,89,598,1416,3532,1796,560,655,985,143,342,91,89,620,1592,3548,1843,579,662,1042,154,321
900,83,93,85,626,1513,3441,348,595,659,1718,133,326,87,93,90,644,1493,3560,358,608,689,1754,139,357,83,89,618,666,1426,2158,373,565,990,1731,142,87,92,668,697,1484,2116,351,562,1035,1705,147,88,89,613,643,3530,2304,353,678,1214,1642,329,87,90,616,634,3587,1737,351,700,985,1682,347,90,87,593,1428,3551,1874,566,676,1008,153,349,85,90,616,1587,3618,1989,577,673,1019,144,326
1201,88,86,86,624,1554,3465,355,587,672,1736,135,319,89,96,88,665,1469,3583,376,604,696,1785,137,370,92,87,615,679,1425,2192,380,552,990,1775,141,87,92,670,679,1478,2143,360,578,1035,1716,145,92,93,615,638,3553,2476,344,667,1259,1653,359,86,85,608,628,3590,1897,358,699,1005,1686,344,93,95,578,1447,3573,1976,558,657,1015,146,342,93,92,616,1610,3653,2036,587,676,1048,151,342
1501,88,89,89,632,1533,3454,351,587,659,1706,133,312,88,85,80,671,1479,3528,367,591,680,1755,143,372,83,92,603,667,1424,2227,373,569,979,1739,142,80,91,644,663,1472,2148,367,591,1069,1707,148,85,85,620,612,3505,2581,339,660,1252,1649,374,86,85,596,621,3563,2062,347,683,1040,1676,340,85,89,584,1421,3503,1994,560,653,992,154,365,93,87,589,1582,3580,2003,588,665,1049,147,343
1801,85,88,81,635,1578,3474,353,590,671,1745,144,336,92,82,85,662,1492,3578,385,604,700,1776,146,393,86,91,595,667,1430,2380,382,575,1011,1772,145,90,92,644,654,1469,2217,376,582,1161,1721,155,79,86,605,611,3482,2681,349,675,1240,1669,394,88,84,606,629,3561,2265,351,690,1087,1677,347,94,75,570,1426,3488,1966,570,674,1002,157,390,91,90,600,1579,3627,1920,594,662,1062,161,382
2101,86,90,81,636,1583,3490,356,585,670,1754,145,341,87,92,86,694,1496,3570,367,599,713,1796,155,425,81,89,602,671,1425,2495,378,566,999,1792,156,81,93,661,653,1482,2314,360,590,1170,1744,165,82,84,616,621,3531,2875,351,675,1271,1695,425,86,91,603,639,3597,2481,360,695,1093,1694,379,90,84,575,1423,3572,2064,579,667,1031,169,428,94,91,603,1598,3632,1948,600,689,1086,163,385
2401,91,88,91,665,1673,3580,365,608,683,1763,147,361,85,94,85,756,1553,3643,383,608,714,1821,154,454,83,93,630,745,1449,2609,384,593,1020,1833,151,95,93,678,702,1485,2380,362,611,1214,1790,169,86,89,631,636,3562,3263,354,695,1297,1753,437,80,91,610,634,3664,2714,363,706,1119,1750,386,94,86,577,1470,3606,2271,575,693,1042,181,457,89,87,612,1608,3682,2157,610,699,1108,170,409
2702,86,86,86,682,1734,3638,383,620,708,1834,155,386,80,82,83,769,1565,3744,387,616,735,1895,176,512,81,93,642,749,1488,2796,393,615,1061,1859,169,87,82,697,699,1543,2581,369,633,1234,1812,176,84,78,643,650,3635,3568,356,715,1276,1782,464,86,89,616,638,3736,2926,364,733,1136,1785,421,91,90,593,1499,3680,2275,587,709,1080,189,486,87,82,630,1650,3775,2136,607,726,1127,177,443
3002,79,91,82,704,1773,3780,387,649,739,1884,167,425,88,80,91,790,1613,3825,395,650,766,1938,176,537,86,90,654,763,1514,2918,404,621,1069,1924,168,86,85,698,721,1551,2515,388,620,1240,1880,180,82,84,651,654,3699,3678,364,733,1238,1808,508,76,91,634,654,3785,2894,371,733,1151,1815,437,83,91,608,1517,3732,2142,590,711,1104,190,507,87,85,636,1666,3763,2115,634,737,1122,177,468
3302,80,86,83,719,1739,3843,400,662,748,1916,165,432,82,87,87,746,1640,3895,404,675,761,1975,158,509,91,86,645,720,1570,2474,395,620,1066,1894,165,80,88,661,704,1594,2139,397,616,1184,1893,180,92,89,639,652,3718,2720,373,727,1207,1801,484,87,87,631,665,3775,2343,384,750,1146,1843,431,88,88,613,1526,3719,1755,593,728,1085,168,486,90,85,648,1690,3818,1837,643,747,1120,169,462
3602,82,89,83,751,1760,3946,409,684,806,1982,182,469,82,88,82,747,1675,3986,426,695,810,2001,168,539,85,94,658,732,1608,2290,415,636,1121,1970,176,89,91,689,723,1650,2069,406,643,1233,1936,187,84,84,664,669,3826,2511,384,731,1232,1856,512,88,87,666,696,3918,2223,393,757,1159,1855,469,94,90,635,1609,3848,1662,616,758,1111,175,513,91,87,669,1754,3946,1733,666,777,1166,166,499
3902,82,86,85,800,1906,4169,437,724,848,2078,195,530,81,92,82,813,1792,4234,459,731,851,2145,173,622,87,90,696,799,1690,2466,443,681,1182,2106,176,87,85,737,778,1738,2212,431,666,1279,2061,199,84,92,696,734,3985,2927,406,789,1266,1961,545,88,84,700,739,4111,2484,418,794,1226,1980,503,89,85,662,1691,3998,1845,646,796,1158,178,554,91,82,693,1856,4102,1835,689,807,1217,184,538
