,cells,host,samples,media,abx_c,replicate,sample_ID,media_ID,ID,media_source,sample_source,destination,prep_date,samples_id
A01,n,,NCC,EZRDM,40,0,nan|NC,EZRDM|40ug,nan|NC|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A1 of 3 on Temperature Module GEN2 on 3,2022-10-20,
B01,n,,NCC,EZRDM,40,1,nan|NC,EZRDM|40ug,nan|NC|EZRDM|40ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B1 of 3 on Temperature Module GEN2 on 3,2022-10-20,
C01,n,,NCC,EZRDM,40,2,nan|NC,EZRDM|40ug,nan|NC|EZRDM|40ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C1 of 3 on Temperature Module GEN2 on 3,2022-10-20,
D01,n,,NCC,EZRDM,40,3,nan|NC,EZRDM|40ug,nan|NC|EZRDM|40ug|3,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D1 of 3 on Temperature Module GEN2 on 3,2022-10-20,
E01,n,,NCC,EZRDM,40,4,nan|NC,EZRDM|40ug,nan|NC|EZRDM|40ug|4,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E1 of 3 on Temperature Module GEN2 on 3,2022-10-20,
F01,n,,NCC,EZRDM,40,5,nan|NC,EZRDM|40ug,nan|NC|EZRDM|40ug|5,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F1 of 3 on Temperature Module GEN2 on 3,2022-10-20,
G01,y,DE344,NC,EZRDM,0,0,DE344|just_cells,EZRDM|0ug,DE344|just_cells|EZRDM|0ug|0,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G1 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|just_cells
H01,y,DE344,NC,EZRDM,0,1,DE344|just_cells,EZRDM|0ug,DE344|just_cells|EZRDM|0ug|1,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H1 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|just_cells
A02,y,DE344,NC,EZRDM,0,2,DE344|just_cells,EZRDM|0ug,DE344|just_cells|EZRDM|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A2 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|just_cells
B02,y,DE344,NC,EZRDM,0,3,DE344|just_cells,EZRDM|0ug,DE344|just_cells|EZRDM|0ug|3,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B2 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|just_cells
C02,y,DE344,NC,EZRDM,0,4,DE344|just_cells,EZRDM|0ug,DE344|just_cells|EZRDM|0ug|4,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C2 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|just_cells
D02,y,DE344,NC,EZRDM,0,5,DE344|just_cells,EZRDM|0ug,DE344|just_cells|EZRDM|0ug|5,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D2 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|just_cells
E02,y,DH5a,NC,EZRDM,0,0,DH5a|just_cells,EZRDM|0ug,DH5a|just_cells|EZRDM|0ug|0,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E2 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|just_cells
F02,y,DH5a,NC,EZRDM,0,1,DH5a|just_cells,EZRDM|0ug,DH5a|just_cells|EZRDM|0ug|1,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F2 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|just_cells
G02,y,DH5a,NC,EZRDM,0,2,DH5a|just_cells,EZRDM|0ug,DH5a|just_cells|EZRDM|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G2 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|just_cells
H02,y,DH5a,NC,EZRDM,0,3,DH5a|just_cells,EZRDM|0ug,DH5a|just_cells|EZRDM|0ug|3,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H2 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|just_cells
A03,y,DH5a,NC,EZRDM,0,4,DH5a|just_cells,EZRDM|0ug,DH5a|just_cells|EZRDM|0ug|4,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A3 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|just_cells
B03,y,DH5a,NC,EZRDM,0,5,DH5a|just_cells,EZRDM|0ug,DH5a|just_cells|EZRDM|0ug|5,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B3 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|just_cells
C03,y,DE344,pJUMP47-2A(pSC101),EZRDM,40,0,DE344|pJUMP47-2A(pSC101),EZRDM|40ug,DE344|pJUMP47-2A(pSC101)|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C3 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP47-2A(pSC101)
