tr_w,tr_l,tr_h
1.0,80,1.0
1.0,80,1.2
1.0,80,1.4
1.0,80,1.6
1.0,80,1.8
1.0,80,2.0
1.0,80,2.2
1.0,80,2.4
1.0,80,2.6
1.0,80,2.8
1.0,80,3.0
1.0,80,3.2
1.1,80,1.0
1.1,80,1.2
1.1,80,1.4
1.1,80,1.6
1.1,80,1.8
1.1,80,2.0
1.1,80,2.2
1.1,80,2.4
1.1,80,2.6
1.1,80,2.8
1.1,80,3.0
1.1,80,3.2
1.2,80,1.0
1.2,80,1.2
1.2,80,1.4
1.2,80,1.6
1.2,80,1.8
1.2,80,2.0
1.2,80,2.2
1.2,80,2.4
1.2,80,2.6
1.2,80,2.8
1.2,80,3.0
1.2,80,3.2
1.3,80,1.0
1.3,80,1.2
1.3,80,1.4
1.3,80,1.6
1.3,80,1.8
1.3,80,2.0
1.3,80,2.2
1.3,80,2.4
1.3,80,2.6
1.3,80,2.8
1.3,80,3.0
1.3,80,3.2
1.4,80,1.0
1.4,80,1.2
1.4,80,1.4
1.4,80,1.6
1.4,80,1.8
1.4,80,2.0
1.4,80,2.2
1.4,80,2.4
1.4,80,2.6
1.4,80,2.8
1.4,80,3.0
1.4,80,3.2
1.5,80,1.0
1.5,80,1.2
1.5,80,1.4
1.5,80,1.6
1.5,80,1.8
1.5,80,2.0
1.5,80,2.2
1.5,80,2.4
1.5,80,2.6
1.5,80,2.8
1.5,80,3.0
1.5,80,3.2
1.6,80,1.0
1.6,80,1.2
1.6,80,1.4
1.6,80,1.6
1.6,80,1.8
1.6,80,2.0
1.6,80,2.2
1.6,80,2.4
1.6,80,2.6
1.6,80,2.8
1.6,80,3.0
1.6,80,3.2
1.7,80,1.0
1.7,80,1.2
1.7,80,1.4
1.7,80,1.6
1.7,80,1.8
1.7,80,2.0
1.7,80,2.2
1.7,80,2.4
1.7,80,2.6
1.7,80,2.8
1.7,80,3.0
1.7,80,3.2
1.8,80,1.0
1.8,80,1.2
1.8,80,1.4
1.8,80,1.6
1.8,80,1.8
1.8,80,2.0
1.8,80,2.2
1.8,80,2.4
1.8,80,2.6
1.8,80,2.8
1.8,80,3.0
1.8,80,3.2
1.9,80,1.0
1.9,80,1.2
1.9,80,1.4
1.9,80,1.6
1.9,80,1.8
1.9,80,2.0
1.9,80,2.2
1.9,80,2.4
1.9,80,2.6
1.9,80,2.8
1.9,80,3.0
1.9,80,3.2
2.0,80,1.0
2.0,80,1.2
2.0,80,1.4
2.0,80,1.6
2.0,80,1.8
2.0,80,2.0
2.0,80,2.2
2.0,80,2.4
2.0,80,2.6
2.0,80,2.8
2.0,80,3.0
2.0,80,3.2
2.1,80,1.0
2.1,80,1.2
2.1,80,1.4
2.1,80,1.6
2.1,80,1.8
2.1,80,2.0
2.1,80,2.2
2.1,80,2.4
2.1,80,2.6
2.1,80,2.8
2.1,80,3.0
2.1,80,3.2
2.2,80,1.0
2.2,80,1.2
2.2,80,1.4
2.2,80,1.6
2.2,80,1.8
2.2,80,2.0
2.2,80,2.2
2.2,80,2.4
2.2,80,2.6
2.2,80,2.8
2.2,80,3.0
2.2,80,3.2
2.3,80,1.0
2.3,80,1.2
2.3,80,1.4
2.3,80,1.6
2.3,80,1.8
2.3,80,2.0
2.3,80,2.2
2.3,80,2.4
2.3,80,2.6
2.3,80,2.8
2.3,80,3.0
2.3,80,3.2
2.4,80,1.0
2.4,80,1.2
2.4,80,1.4
2.4,80,1.6
2.4,80,1.8
2.4,80,2.0
2.4,80,2.2
2.4,80,2.4
2.4,80,2.6
2.4,80,2.8
2.4,80,3.0
2.4,80,3.2
