tr_l,tr_h,tr_w,bkp_w
60,1.4,1.4,0.1
60,1.4,1.4,0.15
60,1.4,1.4,0.2
60,1.4,1.4,0.25
60,1.4,1.6,0.1
60,1.4,1.6,0.15
60,1.4,1.6,0.2
60,1.4,1.6,0.25
60,1.4,1.8,0.1
60,1.4,1.8,0.15
60,1.4,1.8,0.2
60,1.4,1.8,0.25
60,1.4,2.0,0.1
60,1.4,2.0,0.15
60,1.4,2.0,0.2
60,1.4,2.0,0.25
60,1.6,1.4,0.1
60,1.6,1.4,0.15
60,1.6,1.4,0.2
60,1.6,1.4,0.25
60,1.6,1.6,0.1
60,1.6,1.6,0.15
60,1.6,1.6,0.2
60,1.6,1.6,0.25
60,1.6,1.8,0.1
60,1.6,1.8,0.15
60,1.6,1.8,0.2
60,1.6,1.8,0.25
60,1.6,2.0,0.1
60,1.6,2.0,0.15
60,1.6,2.0,0.2
60,1.6,2.0,0.25
60,1.8,1.4,0.1
60,1.8,1.4,0.15
60,1.8,1.4,0.2
60,1.8,1.4,0.25
60,1.8,1.6,0.1
60,1.8,1.6,0.15
60,1.8,1.6,0.2
60,1.8,1.6,0.25
60,1.8,1.8,0.1
60,1.8,1.8,0.15
60,1.8,1.8,0.2
60,1.8,1.8,0.25
60,1.8,2.0,0.1
60,1.8,2.0,0.15
60,1.8,2.0,0.2
60,1.8,2.0,0.25
60,2.0,1.4,0.1
60,2.0,1.4,0.15
60,2.0,1.4,0.2
60,2.0,1.4,0.25
60,2.0,1.6,0.1
60,2.0,1.6,0.15
60,2.0,1.6,0.2
60,2.0,1.6,0.25
60,2.0,1.8,0.1
60,2.0,1.8,0.15
60,2.0,1.8,0.2
60,2.0,1.8,0.25
60,2.0,2.0,0.1
60,2.0,2.0,0.15
60,2.0,2.0,0.2
60,2.0,2.0,0.25
60,2.2,1.4,0.1
60,2.2,1.4,0.15
60,2.2,1.4,0.2
60,2.2,1.4,0.25
60,2.2,1.6,0.1
60,2.2,1.6,0.15
60,2.2,1.6,0.2
60,2.2,1.6,0.25
60,2.2,1.8,0.1
60,2.2,1.8,0.15
60,2.2,1.8,0.2
60,2.2,1.8,0.25
60,2.2,2.0,0.1
60,2.2,2.0,0.15
60,2.2,2.0,0.2
60,2.2,2.0,0.25
60,2.4,1.4,0.1
60,2.4,1.4,0.15
60,2.4,1.4,0.2
60,2.4,1.4,0.25
60,2.4,1.6,0.1
60,2.4,1.6,0.15
60,2.4,1.6,0.2
60,2.4,1.6,0.25
60,2.4,1.8,0.1
60,2.4,1.8,0.15
60,2.4,1.8,0.2
60,2.4,1.8,0.25
60,2.4,2.0,0.1
60,2.4,2.0,0.15
60,2.4,2.0,0.2
60,2.4,2.0,0.25
60,2.6,1.4,0.1
60,2.6,1.4,0.15
60,2.6,1.4,0.2
60,2.6,1.4,0.25
60,2.6,1.6,0.1
60,2.6,1.6,0.15
60,2.6,1.6,0.2
60,2.6,1.6,0.25
60,2.6,1.8,0.1
60,2.6,1.8,0.15
60,2.6,1.8,0.2
60,2.6,1.8,0.25
60,2.6,2.0,0.1
60,2.6,2.0,0.15
60,2.6,2.0,0.2
60,2.6,2.0,0.25
60,2.8,1.4,0.1
60,2.8,1.4,0.15
60,2.8,1.4,0.2
60,2.8,1.4,0.25
60,2.8,1.6,0.1
60,2.8,1.6,0.15
60,2.8,1.6,0.2
60,2.8,1.6,0.25
60,2.8,1.8,0.1
60,2.8,1.8,0.15
60,2.8,1.8,0.2
60,2.8,1.8,0.25
60,2.8,2.0,0.1
60,2.8,2.0,0.15
60,2.8,2.0,0.2
60,2.8,2.0,0.25
60,3.0,1.4,0.1
60,3.0,1.4,0.15
60,3.0,1.4,0.2
60,3.0,1.4,0.25
60,3.0,1.6,0.1
60,3.0,1.6,0.15
60,3.0,1.6,0.2
60,3.0,1.6,0.25
60,3.0,1.8,0.1
60,3.0,1.8,0.15
60,3.0,1.8,0.2
60,3.0,1.8,0.25
60,3.0,2.0,0.1
60,3.0,2.0,0.15
60,3.0,2.0,0.2
60,3.0,2.0,0.25
