Wavelength,DAPI em,SYTOX Blue em,SYTOX Green em,SYTOX Orange em,SYTOX AADvanced dead cell stain em,SYTOX Red em,DAPI ex,SYTOX Blue ex,SYTOX Green ex,SYTOX Orange ex,SYTOX AADvanced dead cell stain ex,SYTOX Red ex
300,,,,,,,0.2507,0.1692,0.1293,0.2078,,
301,,,,,,,0.2537,0.1523,0.1331,0.1883,,
302,,,,,,,0.2574,0.1332,0.1358,0.1779,,
303,,,,,,,0.2617,0.1225,0.1376,0.1697,,
304,,,,,,,0.2673,0.1135,0.1372,0.1611,,
305,,,,,,,0.2741,0.1031,0.1362,0.156,,
306,,,,,,,0.2818,0.0971,0.1346,0.1522,,
307,,,,,,,0.2904,0.0927,0.1321,0.1475,,
308,,,,,,,0.301,0.0873,0.1294,0.145,,
309,,,,,,,0.3122,0.084,0.1261,0.1434,,
310,,,,,,,0.3252,0.0813,0.1229,0.1409,,
311,,,,,,,0.3408,0.0787,0.1191,0.1393,,
312,,,,,,,0.3575,0.0766,0.1158,0.1377,,
313,,,,,,,0.3758,0.0745,0.1116,0.1358,,
314,,,,,,,0.3963,0.0718,0.1076,0.1338,,
315,,,,,,,0.4176,0.0703,0.1048,0.1316,,
316,,,,,,,0.439,0.0691,0.1016,0.1285,,
317,,,,,,,0.4612,0.0676,0.0986,0.1262,,
318,,,,,,,0.4857,0.0664,0.0964,0.1238,,
319,,,,,,,0.5091,0.0653,0.0938,0.1201,,
320,,,,,,,0.5333,0.0641,0.0915,0.1167,,
321,,,,,,,0.5565,0.0629,0.0893,0.1132,,
322,,,,,,,0.5803,0.0617,0.0877,0.1091,,
323,,,,,,,0.6034,0.0599,0.0858,0.1061,,
324,,,,,,,0.627,0.0584,0.0843,0.103,,
325,,,,,,,0.6498,0.0575,0.0831,0.0989,,
326,,,,,,,0.6714,0.056,0.0814,0.0959,,
327,,,,,,,0.6928,0.0548,0.0803,0.0924,,
328,,,,,,,0.7133,0.0539,0.0793,0.0887,,
329,,,,,,,0.738,0.053,0.0894,0.0863,,
330,,,,,,,0.7559,0.0518,0.0886,0.0836,,
331,,,,,,,0.7728,0.0498,0.0886,0.0806,,
332,,,,,,,0.7904,0.048,0.0871,0.0785,,
333,,,,,,,0.8068,0.0462,0.0858,0.0759,,
334,,,,,,,0.8201,0.0453,0.0852,0.0734,,
335,,,,,,,0.8351,0.0429,0.0846,0.0718,,
336,,,,,,,0.8461,0.0417,0.085,0.0702,,
337,,,,,,,0.8593,0.0402,0.0838,0.0685,,
338,,,,,,,0.8702,0.039,0.0836,0.0679,,
339,,,,,,,0.8823,0.0375,0.0832,0.0667,,
340,,,,,,,0.8913,0.0349,0.0834,0.0647,,
341,,,,,,,0.9006,0.0331,0.0834,0.0636,,
342,,,,,,,0.9118,0.0316,0.0836,0.0628,,
343,,,,,,,0.9197,0.0298,0.0841,0.0628,,
344,,,,,,,0.9285,0.0283,0.085,0.0622,,
345,,,,,,,0.9372,0.0268,0.0856,0.0612,,
346,,,,,,,0.9448,0.0253,0.0864,0.0606,,
347,,,,,,,0.9511,0.0232,0.0873,0.0598,,
348,,,,,,,0.9586,0.0218,0.0885,0.0591,,
349,,,,,,,0.9649,0.0206,0.0899,0.0583,,
350,,,,,,,0.9709,0.0191,0.0913,0.0581,,
351,,,,,,,0.9754,0.0179,0.092,0.0583,,
352,,,,,,,0.9799,0.0164,0.0932,0.0585,,
353,,,,,,,0.9849,0.0155,0.0943,0.0575,,
354,,,,,,,0.9878,0.014,0.0958,0.0567,,
355,,,,,,,0.9918,0.0134,0.0961,0.0563,,
356,,,,,,,0.9949,0.0128,0.0969,0.0557,,
357,,,,,,,0.9975,0.0122,0.0975,0.0557,,
358,,,,,,,0.9993,0.0116,0.098,0.0553,,
359,,,,,,,1,0.0107,0.0979,0.0543,,
360,,,,,,,0.9982,0.0104,0.0985,0.0538,,
361,,,,,,,0.9957,0.0104,0.0983,0.053,,
