Wavelength,EBFP em,MiCy em,mVenus em,TurboRFP em,mCherry em,iRFP702 em,EBFP ex,MiCy ex,mVenus ex,TurboRFP ex,mCherry ex,iRFP702 ex
300,,,,,,,,,,,9504,
301,,,,,,,,,,,8460,
302,,,,,,,,,,,7653.6,
303,,,,,,,,,,,7466.4,
304,,,,,,,,,,,9374.4,
305,,,,,,,,,,,11757.6,
306,,,,,,,,,,,11584.8,
307,,,,,,,,,,,7884,
308,,,,,,,,,,,4845.6,
309,,,,,,,,,,,4125.6,
310,,,,,,,,,,,3960,
311,,,,,,,,,,,3924,
312,,,,,,,,,,,3902.4,
313,,,,,,,,,,,3931.2,
314,,,,,,,,,,,3924,
315,,,,,,,,,,,4039.2,
316,,,,,,,,,,,4204.8,
317,,,,,,,,,,,4348.8,
318,,,,,,,,,,,4528.8,
319,,,,,,,,,,,4766.4,
320,,,,,,,,,,,5104.8,
321,,,,,,,,,,,5428.8,
322,,,,,,,,,,,5846.4,
323,,,,,,,,,,,6228,
324,,,,,,,,,,,6595.2,
325,,,,,,,8842.05,,,,7070.4,
326,,,,,,,9049.95,,,,7480.8,
327,,,,,,,9283.05,,,,7804.8,
328,,,,,,,9528.75,,,,8280,
329,,,,,,,9818.55,,,,8589.6,
330,,,,,,,10120.95,,,,8935.2,
331,,,,,,,10448.55,,,,9259.2,
332,,,,,,,10801.35,,,,9619.2,
333,,,,,,,11179.35,,,,9972,
334,,,,,,,11582.55,,,,10353.6,
335,,,,,,,11982.6,,,,10886.4,
336,,,,,,,12407.85,,,,11469.6,
337,,,,,,,12867.75,,,,12196.8,
338,,,,,,,13315.05,,,,12844.8,
339,,,,,,,13784.4,,,,13766.4,
340,,,,,,,14278.95,,,,14407.2,
341,,,,,,,14795.55,,,,15300,
342,,,,,,,15349.95,,,,15861.6,
343,,,,,,,15850.8,,,,16308,
344,,,,,,,16449.3,,,,16444.8,
345,,,,,,,16991.1,,,,16185.6,
346,,,,,,,17558.1,,,,15588,
347,,,,,,,18153.45,,,,14889.6,
348,,,,,,,18704.7,,,,13939.2,
349,,,,,,,19281.15,,,,13053.6,
350,,,,,,,19867.05,463.25,,1867.6,12204,
351,,,,,,,20449.8,498.675,2048.8,1784.8,11347.2,
352,,,,,,,21042,493.225,2225.6,1858.4,10821.6,
353,,,,,,,21605.85,517.75,2319.2,1876.8,10173.6,
354,,,,,,,22179.15,536.825,2308.8,1904.4,9792,
355,,,,,,,22787.1,536.825,2100.8,1895.2,9482.4,
356,,,,,,,23363.55,591.325,1986.4,1876.8,9266.4,
357,,,,,,,23962.05,591.325,1986.4,1840,9108,
358,,,,,,,24582.6,637.65,1986.4,1821.6,9000,
359,,,,,,,25344.9,678.525,1986.4,1858.4,8899.2,
360,,,,,,,26185.95,708.5,1986.4,1748,8884.8,
361,,,,,,,26976.6,776.625,1986.4,1766.4,8827.2,
362,,,,,,,27436.5,757.55,1986.4,1591.6,8805.6,
363,,,,,,,27468,836.575,1986.4,1692.8,8784,
364,,,,,,,27641.25,874.725,1986.4,1711.2,8740.8,
365,,,,,,,27975.15,888.35,1965.6,1646.8,8632.8,
366,,,,,,,28513.8,953.75,1778.4,1775.6,8640,
367,,,,,,,29008.35,983.725,1612,1748,8539.2,
368,,,,,,,29484,1035.5,1612,1683.6,8488.8,
369,,,,,,,29817.9,1079.1,1612,1904.4,8323.2,
370,,,,,,,30076.2,1155.4,1612,1812.4,8265.6,
371,,,,,,,30293.55,1169.025,1612,1738.8,8215.2,
