wavelength,excitation,dichroic,emission
265,,,3.47E-05
265.2,,,3.69E-05
265.4,,,3.92E-05
265.6,,,4.17E-05
265.8,,,4.43E-05
266,,,4.70E-05
266.2,,,5.00E-05
266.4,,,5.31E-05
266.6,,,5.64E-05
266.8,,,5.99E-05
267,,,6.37E-05
267.2,,,5.78E-05
267.4,,,4.86E-05
267.6,,,4.09E-05
267.8,,,3.44E-05
268,,,2.89E-05
268.2,,,2.43E-05
268.4,,,2.04E-05
268.6,,,1.72E-05
268.8,,,1.44E-05
269,,,1.21E-05
269.2,,,1.02E-05
269.4,,,8.58E-06
269.6,,,7.21E-06
269.8,,,6.06E-06
270,4.65E-06,,5.10E-06
270.2,4.61E-06,,4.29E-06
270.4,4.57E-06,,3.60E-06
270.6,4.53E-06,,3.03E-06
270.8,4.49E-06,,2.55E-06
271,4.45E-06,,2.51E-06
271.2,4.41E-06,,2.48E-06
271.4,4.37E-06,,2.46E-06
271.6,4.33E-06,,2.43E-06
271.8,4.29E-06,,2.41E-06
272,4.25E-06,,2.39E-06
272.2,4.22E-06,,2.37E-06
272.4,4.18E-06,,2.34E-06
272.6,4.14E-06,,2.32E-06
272.8,4.11E-06,,2.30E-06
273,4.07E-06,,2.28E-06
273.2,4.03E-06,,2.25E-06
273.4,3.97E-06,,2.23E-06
273.6,3.91E-06,,2.21E-06
273.8,3.85E-06,,2.19E-06
274,3.79E-06,,2.17E-06
274.2,3.73E-06,,2.15E-06
274.4,3.67E-06,,2.13E-06
274.6,3.61E-06,,2.10E-06
274.8,3.56E-06,,2.07E-06
275,3.50E-06,,2.05E-06
275.2,3.45E-06,,2.03E-06
275.4,3.39E-06,,2.02E-06
275.6,3.34E-06,,2.00E-06
275.8,3.29E-06,,1.98E-06
276,3.24E-06,,1.96E-06
276.2,3.19E-06,,1.94E-06
276.4,3.14E-06,,1.92E-06
276.6,3.09E-06,,1.90E-06
276.8,3.04E-06,,1.88E-06
277,3.00E-06,,1.86E-06
277.2,2.95E-06,,1.84E-06
277.4,2.90E-06,,1.82E-06
277.6,2.86E-06,,1.80E-06
277.8,2.81E-06,,1.78E-06
278,2.75E-06,,1.76E-06
278.2,2.67E-06,,1.74E-06
278.4,2.60E-06,,1.72E-06
278.6,2.53E-06,,1.70E-06
278.8,2.46E-06,,1.68E-06
279,2.40E-06,,1.67E-06
279.2,2.33E-06,,1.65E-06
279.4,2.27E-06,,1.82E-06
279.6,2.21E-06,,2.18E-06
279.8,2.15E-06,,2.60E-06
280,2.09E-06,,3.12E-06
280.2,2.04E-06,,3.73E-06
280.4,1.98E-06,,4.47E-06
280.6,1.93E-06,,5.34E-06
280.8,1.88E-06,,6.40E-06
281,1.83E-06,,7.66E-06
281.2,1.78E-06,,9.16E-06
281.4,1.73E-06,,1.10E-05
281.6,1.68E-06,,1.31E-05
281.8,1.64E-06,,1.57E-05
282,1.59E-06,,1.88E-05
