wavelength,excitation,dichroic,emission
190.0,3.97e-06,,
190.2,2.51e-06,,
190.4,1.59e-06,,
190.6,1.01e-06,,
190.8,6.39e-07,,
191.0,4.05e-07,,
191.2,5.19e-07,,
191.4,6.64e-07,,
191.6,8.51e-07,,
191.8,1.09e-06,,
192.0,1.4e-06,,
192.2,1.32e-06,,
192.4,1.25e-06,,
192.6,1.18e-06,,
192.8,1.12e-06,,
193.0,1.06e-06,,
193.2,9.72e-07,,
193.4,8.91e-07,,
193.6,8.16e-07,,
193.8,7.48e-07,,
194.0,6.85e-07,,
194.2,7.67e-07,,
194.4,8.58e-07,,
194.6,9.61e-07,,
194.8,1.08e-06,,
195.0,1.2e-06,,
195.2,1.08e-06,,
195.4,9.62e-07,,
195.6,8.61e-07,,
195.8,7.69e-07,,
196.0,6.88e-07,,
196.2,5.94e-07,,
196.4,5.13e-07,,
196.6,4.42e-07,,
196.8,3.82e-07,,
197.0,3.3e-07,,
197.2,3.26e-07,,
197.4,3.22e-07,,
197.6,3.18e-07,,
197.8,3.14e-07,,
198.0,3.1e-07,,
198.2,2.65e-07,,
198.4,2.26e-07,,
198.6,1.93e-07,,
198.8,1.64e-07,,
199.0,1.4e-07,,
199.2,1.54e-07,,
199.4,1.68e-07,,
199.6,1.84e-07,,
199.8,2.02e-07,,
200.0,2.21e-07,,
200.2,2.49e-07,,
200.4,2.81e-07,,
200.6,3.16e-07,,
200.8,3.57e-07,,
201.0,4.02e-07,,
201.2,4.08e-07,,
201.4,4.14e-07,,
201.6,4.2e-07,,
201.8,4.26e-07,,
202.0,4.33e-07,,
202.2,4.64e-07,,
202.4,4.98e-07,,
202.6,5.34e-07,,
202.8,5.73e-07,,
203.0,6.15e-07,,
203.2,5.98e-07,,
203.4,5.82e-07,,
203.6,5.66e-07,,
203.8,5.5e-07,,
204.0,5.35e-07,,
204.2,5.43e-07,,
204.4,5.51e-07,,
204.6,5.59e-07,,
204.8,5.68e-07,,
205.0,5.76e-07,,
205.2,5.26e-07,,
205.4,4.8e-07,,
205.6,4.38e-07,,
205.8,3.99e-07,,
206.0,3.64e-07,,
206.2,3.17e-07,,
206.4,2.76e-07,,
206.6,2.41e-07,,
206.8,2.1e-07,,
207.0,1.83e-07,,
207.2,1.92e-07,,
207.4,2.01e-07,,
207.6,2.12e-07,,
207.8,2.22e-07,,
208.0,2.33e-07,,
208.2,2.17e-07,,
208.4,2.02e-07,,
208.6,1.88e-07,,
208.8,1.75e-07,,
209.0,1.63e-07,,
209.2,1.65e-07,,
209.4,1.67e-07,,
209.6,1.69e-07,,
209.8,1.71e-07,,
210.0,1.73e-07,,
210.2,1.73e-07,,
210.4,1.73e-07,,
210.6,1.73e-07,,
210.8,1.73e-07,,
211.0,1.73e-07,,
211.2,1.71e-07,,
211.4,1.69e-07,,
211.6,1.67e-07,,
211.8,1.65e-07,,
212.0,1.63e-07,,
212.2,1.48e-07,,
212.4,1.34e-07,,
212.6,1.22e-07,,
212.8,1.1e-07,,
213.0,1e-07,,
213.2,1.26e-07,,
213.4,1.59e-07,,
213.6,2e-07,,
213.8,2.52e-07,,
214.0,3.17e-07,,
214.2,3.04e-07,,
214.4,2.91e-07,,
214.6,2.79e-07,,
214.8,2.67e-07,,
215.0,2.56e-07,,
215.2,2.12e-07,,
215.4,1.76e-07,,
215.6,1.46e-07,,
215.8,1.21e-07,,
216.0,1e-07,,
216.2,1e-07,,
216.4,1e-07,,
216.6,1e-07,,
216.8,1e-07,,
217.0,1e-07,,
217.2,1e-07,,
217.4,1e-07,,
217.6,1e-07,,
217.8,1e-07,,
218.0,1e-07,,
218.2,1e-07,,
218.4,1e-07,,
218.6,1e-07,,
218.8,1e-07,,
219.0,1e-07,,
219.2,1e-07,,
219.4,1e-07,,
219.6,1e-07,,
219.8,1e-07,,
220.0,1e-07,,
220.2,1e-07,,
220.4,1e-07,,
220.6,1e-07,,
220.8,1e-07,,
221.0,1e-07,,
221.2,1e-07,,
221.4,1e-07,,
221.6,1e-07,,
221.8,1e-07,,
222.0,1e-07,,
222.2,1e-07,,
222.4,1e-07,,
222.6,1e-07,,
222.8,1e-07,,
223.0,1e-07,,
223.2,1e-07,,
223.4,1e-07,,
223.6,1e-07,,
223.8,1e-07,,
224.0,1e-07,,
224.2,1e-07,,
224.4,1e-07,,
224.6,1e-07,,
224.8,1e-07,,
225.0,1e-07,,
225.2,1e-07,,
225.4,1e-07,,
225.6,1e-07,,
225.8,1e-07,,
226.0,1e-07,,
226.2,1e-07,,
226.4,1e-07,,
226.6,1e-07,,
226.8,1e-07,,
227.0,1e-07,,
227.2,1e-07,,
227.4,1e-07,,
227.6,1e-07,,
227.8,1e-07,,
228.0,1e-07,,
228.2,1e-07,,
228.4,1e-07,,
228.6,1e-07,,
228.8,1e-07,,
229.0,1e-07,,
229.2,1e-07,,
229.4,1e-07,,
229.6,1e-07,,
229.8,1e-07,,
230.0,1e-07,,
230.2,1e-07,,
230.4,1e-07,,
230.6,1e-07,,
230.8,1e-07,,
231.0,1e-07,,
231.2,1e-07,,
231.4,1e-07,,
231.6,1e-07,,
231.8,1e-07,,
232.0,1e-07,,
232.2,1e-07,,
232.4,1e-07,,
232.6,1e-07,,
232.8,1e-07,,
233.0,1e-07,,
233.2,1.16e-07,,
233.4,1.34e-07,,
233.6,1.55e-07,,
233.8,1.79e-07,,
234.0,2.08e-07,,
234.2,1.79e-07,,
234.4,1.55e-07,,
234.6,1.34e-07,,
234.8,1.16e-07,,
235.0,1e-07,,
235.2,1e-07,,
235.4,1e-07,,
235.6,1e-07,,
235.8,1e-07,,
236.0,1e-07,,
236.2,1e-07,,
236.4,1e-07,,
236.6,1e-07,,
236.8,1e-07,,
237.0,1e-07,,
237.2,1e-07,,
237.4,1e-07,,
237.6,1e-07,,
237.8,1e-07,,
238.0,1e-07,,
238.2,1e-07,,
238.4,1e-07,,
238.6,1e-07,,
238.8,1e-07,,
239.0,1e-07,,
239.2,1e-07,,
239.4,1e-07,,
239.6,1e-07,,
239.8,1e-07,,
240.0,1e-07,,
240.2,1e-07,,
240.4,1e-07,,
240.6,1e-07,,
240.8,1e-07,,
241.0,1e-07,,
241.2,1e-07,,
241.4,1e-07,,
241.6,1e-07,,
241.8,1e-07,,
242.0,1e-07,,
242.2,1e-07,,
242.4,1e-07,,
242.6,1e-07,,
242.8,1e-07,,
243.0,1e-07,,
243.2,1e-07,,
243.4,1e-07,,
243.6,1e-07,,
243.8,1e-07,,
244.0,1e-07,,
244.2,1e-07,,
244.4,1e-07,,
244.6,1e-07,,
244.8,1e-07,,
245.0,1e-07,,
245.2,1e-07,,
245.4,1e-07,,
245.6,1e-07,,
245.8,1e-07,,
246.0,1e-07,,
246.2,1e-07,,
246.4,1e-07,,
246.6,1e-07,,
246.8,1e-07,,
247.0,1e-07,,
247.2,1e-07,,
247.4,1e-07,,
247.6,1e-07,,
247.8,1e-07,,
248.0,1e-07,,
248.2,1e-07,,
248.4,1e-07,,
248.6,1e-07,,
248.8,1e-07,,
249.0,1e-07,,
249.2,1e-07,,
249.4,1e-07,,
249.6,1e-07,,
249.8,1e-07,,
250.0,1e-07,,
250.2,1e-07,,
250.4,1e-07,,
250.6,1e-07,,
250.8,1e-07,,
251.0,1e-07,,
251.2,1e-07,,
251.4,1e-07,,
251.6,1e-07,,
251.8,1e-07,,
252.0,1e-07,,
252.2,1e-07,,
252.4,1e-07,,
252.6,1e-07,,
252.8,1e-07,,
253.0,1e-07,,
253.2,1e-07,,
253.4,1e-07,,
253.6,1e-07,,
253.8,1e-07,,
254.0,1e-07,,
254.2,1e-07,,
254.4,1e-07,,
254.6,1e-07,,
254.8,1e-07,,
255.0,1e-07,,
255.2,1e-07,,
255.4,1e-07,,
255.6,1e-07,,
255.8,1e-07,,
256.0,1e-07,,
256.2,1e-07,,
256.4,1e-07,,
256.6,1e-07,,
256.8,1e-07,,
257.0,1e-07,,
257.2,1e-07,,
257.4,1e-07,,
257.6,1e-07,,
257.8,1e-07,,
258.0,1e-07,,
258.2,1e-07,,
258.4,1e-07,,
258.6,1e-07,,
258.8,1e-07,,
259.0,1e-07,,
259.2,1e-07,,
259.4,1e-07,,
259.6,1e-07,,
259.8,1e-07,,
260.0,1e-07,,
260.2,1e-07,,
260.4,1e-07,,
260.6,1e-07,,
260.8,1e-07,,
261.0,1e-07,,
261.2,1e-07,,
261.4,1e-07,,
261.6,1e-07,,
261.8,1e-07,,
262.0,1e-07,,
262.2,1e-07,,
262.4,1e-07,,
262.6,1e-07,,
262.8,1e-07,,
263.0,1e-07,,
263.2,1e-07,,
263.4,1e-07,,
263.6,1e-07,,
263.8,1e-07,,
264.0,1e-07,,
264.2,1e-07,,
264.4,1e-07,,
264.6,1e-07,,
264.8,1e-07,,
265.0,1e-07,,2.23e-05
265.2,1e-07,,2.36e-05
265.4,1e-07,,2.5e-05
265.6,1e-07,,2.65e-05
265.8,1e-07,,2.81e-05
266.0,1e-07,,2.97e-05
266.2,1e-07,,3.15e-05
266.4,1e-07,,3.33e-05
266.6,1e-07,,3.53e-05
266.8,1e-07,,3.74e-05
267.0,1e-07,,3.96e-05
267.2,1e-07,,4.04e-05
267.4,1e-07,,4.06e-05
267.6,1e-07,,4.07e-05
267.8,1e-07,,4.08e-05
268.0,1e-07,,4.09e-05
268.2,1e-07,,4.1e-05
268.4,1e-07,,4.11e-05
268.6,1e-07,,4.12e-05
268.8,1e-07,,4.13e-05
269.0,1e-07,,4.14e-05
269.2,1e-07,,4.15e-05
269.4,1e-07,,4.16e-05
269.6,1e-07,,4.18e-05
269.8,1e-07,,4.19e-05
270.0,1e-07,,4.2e-05
270.2,1e-07,,4.21e-05
270.4,1e-07,,4.22e-05
270.6,1e-07,,4.23e-05
270.8,1e-07,,4.24e-05
271.0,1e-07,,4.2e-05
271.2,1e-07,,4.16e-05
271.4,1e-07,,4.12e-05
271.6,1e-07,,4.08e-05
271.8,1e-07,,4.04e-05
272.0,1e-07,,4e-05
272.2,1e-07,,3.96e-05
272.4,1e-07,,3.92e-05
272.6,1e-07,,3.88e-05
272.8,1e-07,,3.84e-05
273.0,1e-07,,3.8e-05
273.2,1e-07,,3.76e-05
273.4,1e-07,,3.72e-05
273.6,1e-07,,3.69e-05
273.8,1e-07,,3.65e-05
274.0,1e-07,,3.61e-05
274.2,1e-07,,3.58e-05
274.4,1e-07,,3.54e-05
274.6,1e-07,,3.51e-05
274.8,1e-07,,3.55e-05
275.0,1e-07,,4.14e-05
275.2,1e-07,,4.83e-05
275.4,1e-07,,5.64e-05
275.6,1e-07,,6.07e-05
275.8,1e-07,,4.97e-05
276.0,1e-07,,4.07e-05
276.2,1e-07,,3.33e-05
276.4,1e-07,,2.73e-05
276.6,1e-07,,2.24e-05
276.8,1e-07,,1.83e-05
277.0,1e-07,,1.5e-05
277.2,1e-07,,1.23e-05
277.4,1e-07,,1.01e-05
277.6,1e-07,,8.26e-06
277.8,1e-07,,6.76e-06
278.0,1e-07,,5.54e-06
278.2,1e-07,,4.54e-06
278.4,1e-07,,3.72e-06
278.6,1e-07,,3.05e-06
278.8,1e-07,,2.49e-06
279.0,1e-07,,2.04e-06
279.2,1e-07,,1.67e-06
279.4,1e-07,,1.65e-06
279.6,1e-07,,1.9e-06
279.8,1e-07,,2.2e-06
280.0,1e-07,,2.54e-06
280.2,1e-07,,2.94e-06
280.4,1e-07,,3.4e-06
280.6,1e-07,,3.93e-06
280.8,1e-07,,4.55e-06
281.0,1e-07,,5.26e-06
281.2,1e-07,,6.08e-06
281.4,1e-07,,7.03e-06
281.6,1e-07,,8.12e-06
281.8,1e-07,,9.39e-06
282.0,1e-07,,1.09e-05
282.2,1e-07,,1.26e-05
282.4,1e-07,,1.45e-05
282.6,1e-07,,1.68e-05
282.8,1e-07,,1.94e-05
