name,concentration (nM),total volume (ul),moladj_parts_positions,ark_plate_format,prep_date,position_tuple,sample_vol_before_2023-06-04
P_T7(BBF10K_003378)_15nM,15.0,46.339999999999996,A1,96,23/05/2023,"('A', 1)",110.02
P_T7_lacO(BBF10K_003379)_15nM,15.0,42.98,B1,96,23/05/2023,"('B', 1)",106.66
RBS_BT1_BCD2(BBF10K_003384)_15nM,15.0,91.08,C1,96,23/05/2023,"('C', 1)",122.92
RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM,15.0,137.85999999999999,D1,96,23/05/2023,"('D', 1)",169.7
RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM,15.0,66.86,E1,96,23/05/2023,"('E', 1)",98.7
RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM,15.0,97.97999999999999,F1,96,23/05/2023,"('F', 1)",129.82
Ntag1_R5(BBF10K_003399)_30nM,30.0,67.92,G1,96,23/05/2023,"('G', 1)",67.92
Ntag2_TEVcut(BBF10K_003418)_30nM,30.0,67.62,H1,96,23/05/2023,"('H', 1)",67.62
Ntag_His_TEVcut(BBF10K_003407_15nM,15.0,57.279999999999994,A2,96,23/05/2023,"('A', 2)",120.96
CDS_Eco31I(BBF10K_003292)_15nM,15.0,115.38,B2,96,23/05/2023,"('B', 2)",131.38
CDS_EcoRI(BBF10K_003281)_15nM,15.0,127.75999999999999,C2,96,23/05/2023,"('C', 2)",143.76
CDS_NotI(BBF10K_003300)_15nM,15.0,99.54,D2,96,23/05/2023,"('D', 2)",115.54
CDS_PstI(BBF10K_003283)_15nM,15.0,125.78,E2,96,23/05/2023,"('E', 2)",141.78
CDS_SapI(BBF10K_003295)_15nM,15.0,89.68,F2,96,23/05/2023,"('F', 2)",105.68
CDS_XbaI(BBF10K_003298)_15nM,15.0,84.18,G2,96,23/05/2023,"('G', 2)",100.18
T_TZ(BBF10K_003477)_15nM,15.0,31.640000000000043,H2,96,23/05/2023,"('H', 2)",159.0
DV_pTi_7.5nM,7.5,78.5,A3,96,23/05/2023,"('A', 3)",78.5
DV_pTi_5nM,5.0,52.64000000000004,B3,96,23/05/2023,"('B', 3)",180.0
Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,15.0,56.32,C3,96,23/05/2023,"('C', 3)",120.0
