name,length,concentration (ng/ul),available sample to dilute (ul),desired_concentration (nM)
P_T7(BBF10K_003378)_15nM,2412,124.1,20,15
P_T7_lacO(BBF10K_003379)_15nM,2427,121.1,20,15
RBS_BT1_BCD2(BBF10K_003384),2413,138.6,20,15
RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM,2849,225.4,20,15
RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM,2441,112.8,20,15
RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM,2426,147.1,20,15
Ntag1_R5(BBF10K_003399)_30nM,2420,154.6,20,30
Ntag2_TEVcut(BBF10K_003418)_30nM,2410,153.3,20,30
Ntag_His_TEVcut(BBF10K_003407_15nM,2427,137.2,20,15
CDS_Eco31I(BBF10K_003292)_15nM,3866,237.2,20,15
CDS_EcoRI(BBF10K_003281)_15nM,2957,198.4,20,15
CDS_NotI(BBF10K_003300)_15nM,3275,176.9,20,15
CDS_PstI(BBF10K_003283)_15nM,3104,205.4,20,15
CDS_SapI(BBF10K_003295)_15nM,3422,169.2,20,15
CDS_XbaI(BBF10K_003298)_15nM,2753,129.1,20,15
T_TZ(BBF10K_003477)_15nM,2426,179.9,20,15
DV_pTi_7.5nM,5215,128.1,15,7.5
DV_pTi_5nM,5215,128.1,15,5
