well,cells,host,samples,media,ind_c,abx_c,replicate,ID,media_source,sample_source,destination,prep_date
A1,n,nan,NTC,EZRDM,0uM,40ug,0,nanNTC|0uM|0,A1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A1 of 3 on Temperature Module GEN2 on 3,2023-06-04
B1,n,nan,NTC,EZRDM,0uM,40ug,1,nanNTC|0uM|1,A1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B1 of 3 on Temperature Module GEN2 on 3,2023-06-04
C1,n,nan,NTC,EZRDM,0uM,40ug,2,nanNTC|0uM|2,A1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C1 of 3 on Temperature Module GEN2 on 3,2023-06-04
D1,n,nan,NTC,EZRDM,1000uM,40ug,0,nanNTC|1000uM|0,B1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D1 of 3 on Temperature Module GEN2 on 3,2023-06-04
E1,n,nan,NTC,EZRDM,1000uM,40ug,1,nanNTC|1000uM|1,B1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E1 of 3 on Temperature Module GEN2 on 3,2023-06-04
F1,n,nan,NTC,EZRDM,1000uM,40ug,2,nanNTC|1000uM|2,B1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F1 of 3 on Temperature Module GEN2 on 3,2023-06-04
G1,n,nan,NTC,EZRDM,150um,40ug,0,nanNTC|150um|0,C1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G1 of 3 on Temperature Module GEN2 on 3,2023-06-04
H1,n,nan,NTC,EZRDM,150um,40ug,1,nanNTC|150um|1,C1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H1 of 3 on Temperature Module GEN2 on 3,2023-06-04
I1,n,nan,NTC,EZRDM,150um,40ug,2,nanNTC|150um|2,C1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,A1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,I1 of 3 on Temperature Module GEN2 on 3,2023-06-04
J1,y,Marionette,just_cells,EZRDM,0ug0uM,0ug,0,Marionettejust_cells|0ug0uM|0,A2 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,J1 of 3 on Temperature Module GEN2 on 3,2023-06-04
K1,y,Marionette,just_cells,EZRDM,0ug0uM,0ug,1,Marionettejust_cells|0ug0uM|1,A2 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,K1 of 3 on Temperature Module GEN2 on 3,2023-06-04
L1,y,Marionette,just_cells,EZRDM,0ug0uM,0ug,2,Marionettejust_cells|0ug0uM|2,A2 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,L1 of 3 on Temperature Module GEN2 on 3,2023-06-04
M1,y,Marionette,just_cells,EZRDM,0ug1000uM,0ug,0,Marionettejust_cells|0ug1000uM|0,B2 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,M1 of 3 on Temperature Module GEN2 on 3,2023-06-04
N1,y,Marionette,just_cells,EZRDM,0ug1000uM,0ug,1,Marionettejust_cells|0ug1000uM|1,B2 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,N1 of 3 on Temperature Module GEN2 on 3,2023-06-04
O1,y,Marionette,just_cells,EZRDM,0ug1000uM,0ug,2,Marionettejust_cells|0ug1000uM|2,B2 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,O1 of 3 on Temperature Module GEN2 on 3,2023-06-04
P1,y,Marionette,just_cells,EZRDM,0ug150um,0ug,0,Marionettejust_cells|0ug150um|0,C2 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,P1 of 3 on Temperature Module GEN2 on 3,2023-06-04
